"Sgnyea","Ctnm_en","Ctnm_id","Cttyp_en","Prvcnm_id","Prvcnm_en","Eect01","Eect02","Eect03","Eect04","Eect05","Eect06","Eect08","Eect09","Eect10","Eect11","Eect12","Eect13"
"1990","Chongzuo(city)","451400","City (Sub-provincial level)","450000","Guangxi Zhuang Autonomous Region","","","","","","4.4762","","","","","",""
"1990","Wuzhou area","452400","City (Sub-provincial level)","450000","Guangxi Zhuang Autonomous Region","","","","","","1.7745","","","","","",""
"1990","Beijing (city)","110000","Municipality","110000","Beijing","1032.2000","640.1500","7.2300","616.0000","","6.3240","","","","456.9100","1189296.0000",""
"1990","Tianjin","120000","Municipality","120000","Tianjin (city)","866.2500","485.4400","9.8300","770.0000","284.3100","","","","","284.3100","693801.0000",""
"1990","Shijiazhuang(city)","130100","City (Sub-provincial level)","130000","Hebei (province)","283.5100","117.1300","","871.0000","","1.8356","","","","81.8200","178066.0000",""
"1990","Tangshan(city)","130200","City (Sub-provincial level)","130000","Hebei (province)","657.4100","144.7200","","488.0000","","1.8337","","","","102.6800","221646.0000",""
"1990","Qinhuangdao(city)","130300","City (Sub-provincial level)","130000","Hebei (province)","246.5700","48.6000","","328.0000","","0.5805","","","","33.4400","73867.0000",""
"1990","Handan (city)","130400","City (Sub-provincial level)","130000","Hebei (province)","209.0700","88.1600","","749.0000","","","","","","","",""
"1990","Xingtai (city)","130500","City (Sub-provincial level)","130000","Hebei (province)","83.2000","31.5800","","394.0000","","0.5816","","","","24.1600","51488.0000",""
"1990","Baoding(city)","130600","City (Sub-provincial level)","130000","Hebei (province)","166.7800","52.8600","","928.0000","","0.5362","","","","31.5300","60771.0000",""
"1990","Zhangjiakou(city)","130700","City (Sub-provincial level)","130000","Hebei (province)","99.6500","56.0000","","336.0000","","0.6038","","","","36.6500","76189.0000",""
"1990","Chengde(city)","130800","City (Sub-provincial level)","130000","Hebei (province)","84.1200","28.0500","","188.0000","","0.7853","","","","19.6600","39110.0000",""
"1990","Cangzhou(city)","130900","City (Sub-provincial level)","130000","Hebei (province)","131.0700","29.0500","","489.0000","","0.5509","","","","17.1100","31001.0000",""
"1990","Langfang(city)","131000","City (Sub-provincial level)","130000","Hebei (province)","338.8400","35.6100","","527.0000","","0.7119","","","","25.5300","45575.0000",""
"1990","Hengshui(city)","131100","City (Sub-provincial level)","130000","Hebei (province)","32.8900","","","557.0000","","","","","","","",""
"1990","Taiyuan(city)","140100","City (Sub-provincial level)","140000","Shanxi (province)","272.9300","170.9900","12.1000","374.0000","","2.8512","","","","111.3200","257006.0000","2302.0000"
"1990","Datong (city)","140200","City (Sub-provincial level)","140000","Shanxi (province)","128.6300","79.8400","16.9000","534.0000","","0.7255","","","","55.1200","137591.0000","2582.0000"
"1990","Yangquan(city)","140300","City (Sub-provincial level)","140000","Shanxi (province)","117.4000","42.9900","11.9000","258.0000","","0.2662","","","","28.3400","66096.0000","2384.0000"
"1990","Changzhi(city) ","140400","City (Sub-provincial level)","140000","Shanxi (province)","","","","207.0000","","0.3558","","","","36.9900","70564.0000","1951.0000"
"1990","Jincheng(city)","140500","City (Sub-provincial level)","140000","Shanxi (province)","193.9800","25.2200","13.0000","202.0000","","1.0722","","","","20.1700","40081.0000","2018.0000"
"1990","Shuozhou(city)","140600","City (Sub-provincial level)","140000","Shanxi (province)","67.5100","9.9400","13.1000","111.0000","","0.4338","","","","7.6200","16862.0000","2213.0000"
"1990","Yuncheng(city)","140800","City (Sub-provincial level)","140000","Shanxi (province)","425.0000","48.6600","19.6000","398.0000","","0.9852","","","","34.7188","62934.5000","1813.0000"
"1990","Xinzhou(city)","140900","City (Sub-provincial level)","140000","Shanxi (province)","269.9000","37.1100","13.5000","221.0000","","0.9146","","","","25.2425","44600.4000","1767.0000"
"1990","Linfen(city)","141000","City (Sub-provincial level)","140000","Shanxi (province)","349.9000","58.6400","12.7000","449.0000","","2.2321","","","","38.5592","73201.1000","1898.0000"
"1990","Hohhot(city)","150100","City (Sub-provincial level)","150000","Inner Mongolia Autonomous Region","138.3100","70.7600","","228.0000","","1.2921","","","","40.3800","76728.0000",""
"1990","Baotou(city)","150200","City (Sub-provincial level)","150000","Inner Mongolia Autonomous Region","174.7200","105.9200","","175.0000","","2.6011","","","","60.8000","119573.0000",""
"1990","Wuhai(city)","150300","City (Sub-provincial level)","150000","Inner Mongolia Autonomous Region","28.7900","26.4100","","123.0000","","0.5439","","","","13.4500","29638.0000",""
"1990","Chifeng(city)","150400","City (Sub-provincial level)","150000","Inner Mongolia Autonomous Region","411.2100","63.5500","","46.0000","","1.2960","","","","38.3300","66929.0000",""
"1990","Tongliao(city)","150500","City (Sub-provincial level)","150000","Inner Mongolia Autonomous Region","","","","198.0000","","","","","","31.9800","",""
"1990","Shenyang(city)","210100","City (Prefectural level)","210000","Liaoning (province)","570.3000","377.1000","6.1000","670.0000","","6.9071","","","","223.7700","514933.0000",""
"1990","Dalian(city)","210200","City (Prefectural level)","210000","Liaoning (province)","517.8000","223.5000","8.4000","412.0000","","6.3786","","","","132.8700","329413.0000",""
"1990","Anshan(city)","210300","City (Sub-provincial level)","210000","Liaoning (province)","277.2000","146.0000","8.3000","584.0000","","3.6020","","","","96.2700","215842.0000",""
"1990","Fushun(city) ","210400","City (Sub-provincial level)","210000","Liaoning (province)","221.8000","140.2000","7.5000","205.0000","","3.5061","","","","83.1000","179804.0000",""
"1990","Benxi(city)","210500","City (Sub-provincial level)","210000","Liaoning (province)","152.3000","93.5000","10.0000","181.0000","","5.1362","","","","53.2300","117934.0000",""
"1990","Dandong(city)","210600","City (Sub-provincial level)","210000","Liaoning (province)","281.6000","95.5000","9.0000","147.0000","","2.8486","","","","54.7700","105340.0000",""
"1990","Jinzhou","210700","City (Sub-provincial level)","210000","Liaoning (province)","293.1000","90.8000","7.8000","285.0000","","2.2514","","","","50.5300","98582.0000",""
"1990","Yingkou(city)","210800","City (Sub-provincial level)","210000","Liaoning (province)","212.6000","72.3000","16.0000","226.0000","","2.2563","","","","41.9000","72473.0000",""
"1990","Fuxin(city)","210900","City (Sub-provincial level)","210000","Liaoning (province)","183.1000","78.7000","8.0000","205.0000","","5.5354","","","","44.6000","85923.0000",""
"1990","Liaoyang(city) ","211000","City (Sub-provincial level)","210000","Liaoning (province)","172.7000","64.2000","7.2000","365.0000","","2.2290","","","","37.7600","74634.0000",""
"1990","Panjin(city)","211100","City (Sub-provincial level)","210000","Liaoning (province)","104.9000","47.5000","11.0000","265.0000","","0.5568","","","","41.4000","76872.0000",""
"1990","Tieling(city)","211200","City (Sub-provincial level)","210000","Liaoning (province)","359.5000","86.6000","9.1000","206.0000","","2.1358","","","","50.7900","92955.0000",""
"1990","Chaoyang (city)","211300","City (Sub-provincial level)","210000","Liaoning (province)","317.8000","69.1000","10.9000","161.0000","","1.1074","","","","40.1800","76983.0000",""
"1990","Changchun(city)","220100","City (Prefectural level)","220000","Jilin (province)","637.8200","232.7000","9.8200","338.0000","301.7600","5.6633","","","","129.9500","248901.0000",""
"1990","Jilin(province)","220200","City (Sub-provincial level)","220000","Jilin (province)","412.5400","185.1400","12.2000","164.0000","206.8700","6.5820","","","","103.4400","208884.0000",""
"1990","Siping(city)","220300","City (Sub-provincial level)","220000","Jilin (province)","296.3300","90.0000","12.9000","210.0000","136.7200","2.0643","","","","46.7600","73434.0000",""
"1990","Liaoyuan(city)","220400","City (Sub-provincial level)","220000","Jilin (province)","119.2100","50.9900","10.9200","233.0000","58.2400","1.8713","","","","27.5200","46653.0000",""
"1990","Tonghua(city)","220500","City (Sub-provincial level)","220000","Jilin (province)","216.8700","87.5100","13.1600","143.0000","103.6700","2.4426","","","","41.1900","69803.0000",""
"1990","Baicheng(city)","220800","City (Sub-provincial level)","220000","Jilin (province)","33.0900","21.8000","14.4100","1247.0000","","","","","","","",""
"1990","Harbin(city)","230100","City (Prefectural level)","230000","Heilongjiang (province)","407.5500","275.0300","10.1700","588.0000","","6.7386","","","","178.0000","356384.0000","2072.0000"
"1990","Qiqihaer(city)","230200","City (Sub-provincial level)","230000","Heilongjiang (province)","590.3000","190.9800","14.9100","112.0000","","4.7067","","","","107.7000","181483.0000","1748.0000"
"1990","Jixi(city)","230300","City (Sub-provincial level)","230000","Heilongjiang (province)","113.6000","75.6300","10.0400","210.0000","","1.4914","","","","40.2200","85181.0000","2198.0000"
"1990","Hegang(city)","230400","City (Sub-provincial level)","230000","Heilongjiang (province)","105.2600","68.2900","13.5200","72.0000","","1.6009","","","","41.4400","79557.0000","2133.0000"
"1990","Shuangyashan(city)","230500","City (Sub-provincial level)","230000","Heilongjiang (province)","78.9100","46.8900","8.5300","196.0000","","0.8764","","","","25.7700","49889.0000","2147.0000"
"1990","Daqing(city)","230600","City (Sub-provincial level)","230000","Heilongjiang (province)","94.1200","65.7200","16.9200","184.0000","","1.6097","","","","38.1100","107501.0000","2893.0000"
"1990","Yichun(city)","230700","City (Sub-provincial level)","230000","Heilongjiang (province)","132.6000","108.6900","14.2500","35.0000","","1.6328","","","","42.5800","57691.0000","1258.0000"
"1990","Kiamusze(city)","230800","City (Sub-provincial level)","230000","Heilongjiang (province)","322.0400","121.7200","14.5600","59.0000","","3.2323","","","","75.9000","130931.0000","1828.0000"
"1990","Qitaihe(city)","230900","City (Sub-provincial level)","230000","Heilongjiang (province)","77.1900","30.6700","13.1400","124.0000","","1.3230","","","","17.5100","39706.0000","2426.0000"
"1990","Mudanjiang(city)","231000","City (Sub-provincial level)","230000","Heilongjiang (province)","323.4500","155.8100","10.0100","56.0000","","2.9329","","","","77.3900","129589.0000","1748.0000"
"1990","Heihe(city)","231100","City (Sub-provincial level)","230000","Heilongjiang (province)","155.9100","57.2300","14.3200","10.0000","","","","","","26.0756","38858.0000","1548.0000"
"1990","Suihua(city)","231200","City (Sub-provincial level)","230000","Heilongjiang (province)","598.1500","131.1800","15.5500","282.0000","","","","","","61.6901","86763.0000","1446.0000"
"1990","Shanghai","310000","Municipality","310000","Shanghai (city)","1283.3500","864.4600","3.5100","2024.0000","766.8800","5.6544","","","","508.1000","1467835.0000",""
"1990","Nanjing(city)","320100","City (Prefectural level)","320000","Jiangsu (province)","501.8200","236.2200","","770.0000","277.2900","2.3196","","","","144.0900","334781.0000",""
"1990","Wuxi(city)","320200","City (Sub-provincial level)","320000","Jiangsu (province)","417.7200","144.3100","","898.0000","244.9900","1.1555","","","","79.8600","193066.0000",""
"1990","Xuzhou(city)","320300","City (Sub-provincial level)","320000","Jiangsu (province)","807.1400","138.2600","","717.0000","408.5000","3.2734","","","","87.3500","185937.0000",""
"1990","Changzhou(city)","320400","City (Sub-provincial level)","320000","Jiangsu (province)","324.8500","81.4000","","743.0000","186.0700","1.5094","","","","56.1600","128994.0000",""
"1990","Suzhou(city)","320500","City (Sub-provincial level)","320000","Jiangsu (province)","561.0200","139.7500","","661.0000","346.7300","1.5365","","","","95.4200","231139.0000",""
"1990","Nantong(city)","320600","City (Sub-provincial level)","320000","Jiangsu (province)","775.9900","153.3900","","970.0000","477.7800","0.7392","","","","84.9200","165574.0000",""
"1990","Lianyungang(city)","320700","City (Sub-provincial level)","320000","Jiangsu (province)","340.2600","59.8200","","538.0000","170.4700","1.0094","","","","38.5700","70471.0000",""
"1990","Yancheng(city)","320900","City (Sub-provincial level)","320000","Jiangsu (province)","771.9300","117.4400","","515.0000","348.7400","1.8647","","","","64.9800","111472.0000",""
"1990","Yangzhou(city)","321000","City (Sub-provincial level)","320000","Jiangsu (province)","924.3200","145.3100","","744.0000","513.5900","4.1099","","","","106.4600","198269.0000",""
"1990","Zhenjiang(city)","321100","City (Sub-provincial level)","320000","Jiangsu (province)","258.1300","71.8600","","672.0000","149.0800","0.7818","","","","44.0100","91594.0000",""
"1990","Hangzhou(city)","330100","City (Prefectural level)","330000","Zhejiang (province)","574.7800","169.0000","7.2600","346.0000","","3.4538","","","","118.2300","277910.0000",""
"1990","Ningbo(city)","330200","City (Prefectural level)","330000","Zhejiang (province)","510.7600","102.9800","7.2300","545.0000","","3.8699","","","","71.3700","156732.0000",""
"1990","Wenzhou(city)","330300","City (Sub-provincial level)","330000","Zhejiang (province)","666.9800","98.2800","7.1700","566.0000","","9.9397","","","","55.7900","98610.0000",""
"1990","Jiaxing(city)","330400","City (Sub-provincial level)","330000","Zhejiang (province)","316.1900","58.3900","8.4800","808.0000","","2.0261","","","","38.3200","94589.0000",""
"1990","Huzhou(city)","330500","City (Sub-provincial level)","330000","Zhejiang (province)","245.2800","43.6600","7.2400","428.0000","","1.1363","","","","27.7700","62431.0000",""
"1990","Shaoxing(city)","330600","City (Sub-provincial level)","330000","Zhejiang (province)","412.6700","53.6100","5.7300","522.0000","","2.3591","","","","41.7900","88146.0000",""
"1990","Jinhua(city)","330700","City (Sub-provincial level)","330000","Zhejiang (province)","424.9000","47.9000","7.9300","389.0000","","1.8711","","","","34.5500","70800.0000",""
