"Sgnyea","Ctnm_en","Ctnm_id","Cttyp_en","Prvcnm_id","Prvcnm_en","Gdpct01","Gdpct02","Gdpct03","Gdpct04","GDP_PerCapita","GDPYoY","GDP_PrimInd","GDP_SecInd","GDP_TerInd"
"1990","Xinxiang(city)","410700","City (Sub-provincial level)","410000","Henan (province)","59.9000","35.3000","39.7000","25.0000","1237.0000","","211400.0000","238000.0000","149600.0000"
"1990","Jiaozuo(city)","410800","City (Sub-provincial level)","410000","Henan (province)","61.3100","28.4000","50.5000","21.1000","1798.0000","","173900.0000","310000.0000","129200.0000"
"1990","Puyang(city) ","410900","City (Sub-provincial level)","410000","Henan (province)","39.0300","34.4000","46.0000","19.6000","1265.0000","","134100.0000","179500.0000","76700.0000"
"1990","Xuchang(city) ","411000","City (Sub-provincial level)","410000","Henan (province)","44.9200","37.2000","39.5000","23.3000","1362.0000","","167300.0000","177300.0000","104600.0000"
"1990","Luohe(city)","411100","City (Sub-provincial level)","410000","Henan (province)","22.3900","42.4000","35.4000","22.2000","1036.0000","","94800.0000","79300.0000","49800.0000"
"1990","Sanmenxia(city)","411200","City (Sub-provincial level)","410000","Henan (province)","28.4300","26.5000","43.7000","29.8000","1458.0000","","75500.0000","124100.0000","84700.0000"
"1990","Shangqiu(city)","411400","City (Sub-provincial level)","410000","Henan (province)","46.8300","59.6000","17.3000","23.1000","679.0000","","279300.0000","80900.0000","108100.0000"
"1990","Zhoukou(city)","411600","City (Sub-provincial level)","410000","Henan (province)","65.1300","54.0000","24.6000","21.4000","704.0000","","351600.0000","160200.0000","139500.0000"
"1990","Zhumadian(city)","411700","City (Sub-provincial level)","410000","Henan (province)","55.0200","53.1000","19.6000","27.3000","738.0000","","292300.0000","108000.0000","149900.0000"
"1990","Nanyang(city)","411300","City (Sub-provincial level)","410000","Henan (province)","89.2100","46.2000","30.1000","23.7000","914.0000","","412000.0000","268800.0000","211300.0000"
"1990","Xinyang(city)","411500","City (Sub-provincial level)","410000","Henan (province)","46.3300","55.0000","21.6000","23.4000","667.0000","","254900.0000","99900.0000","108500.0000"
"1990","Beijing (city)","110000","Municipality","110000","Beijing","500.8000","8.7000","52.3000","39.0000","4635.0000","5.2000","437000.0000","2620000.0000","1951000.0000"
"1990","Tianjin","120000","Municipality","120000","Tianjin (city)","310.9500","8.8000","58.3000","32.9000","3487.0000","5.4000","273200.0000","1813800.0000","1022500.0000"
"1990","Changchun(city)","220100","City (Prefectural level)","220000","Jilin (province)","105.3700","31.0810","45.3829","23.5361","","","","",""
"1990","Jilin(province)","220200","City (Sub-provincial level)","220000","Jilin (province)","364.2600","28.8173","46.6782","24.5072","","","","",""
"1990","Siping(city)","220300","City (Sub-provincial level)","220000","Jilin (province)","41.9000","45.7279","30.6444","23.6038","","","","",""
"1990","Liaoyuan(city)","220400","City (Sub-provincial level)","220000","Jilin (province)","19.9700","31.1467","39.0085","29.8948","","","","",""
"1990","Tonghua(city)","220500","City (Sub-provincial level)","220000","Jilin (province)","33.6700","30.7989","44.3124","24.8886","","","","",""
"1990","Baishan(city)","220600","City (Sub-provincial level)","220000","Jilin (province)","20.4000","22.1078","52.3039","25.6373","","","","",""
"1990","Baicheng(city)","220800","City (Sub-provincial level)","220000","Jilin (province)","6.6800","14.0719","42.5150","43.4132","","","","",""
"1990","Shanghai","310000","Municipality","310000","Shanghai (city)","781.6600","4.4000","64.7000","30.9000","5911.0000","3.5000","342400.0000","5056000.0000","2418200.0000"
"1990","Nanchang(city) ","360100","City (Sub-provincial level)","360000","Jiangxi (province)","60.6000","22.8548","41.3696","35.7756","","","","",""
"1990","Jingdezhen(city)","360200","City (Sub-provincial level)","360000","Jiangxi (province)","18.8700","23.5294","48.6486","27.8219","","","","",""
"1990","Pingxiang(city)","360300","City (Sub-provincial level)","360000","Jiangxi (province)","13.5200","25.7396","46.7456","27.5148","","","","",""
"1990","Jiujiang (city)","360400","City (Sub-provincial level)","360000","Jiangxi (province)","39.7500","43.3459","33.7107","22.9434","","","","",""
"1990","Xinyu(city)","360500","City (Sub-provincial level)","360000","Jiangxi (province)","14.1900","34.0381","40.5215","25.4405","","","","",""
"1990","Yingtan(city)","360600","City (Sub-provincial level)","360000","Jiangxi (province)","10.0400","37.6494","40.5378","21.8127","","","","",""
"1990","Ganzhou(city)","360700","City (Sub-provincial level)","360000","Jiangxi (province)","6.8300","13.9092","52.5622","33.6750","","","","",""
"1990","Ji'an(city) ","360800","City (Sub-provincial level)","360000","Jiangxi (province)","4.9600","17.5403","44.3548","38.3065","","","","",""
"1990","Yichun city","360900","City (Sub-provincial level)","360000","Jiangxi (province)","9.6600","43.1677","29.1925","27.6398","","","","",""
"1990","Shangrao(city)","361100","City (Sub-provincial level)","360000","Jiangxi (province)","2.6800","4.8507","47.0149","48.1343","","","","",""
"1990","Jinan(city)","370100","City (Prefectural level)","370000","Shandong (province)","131.1000","18.2532","51.3806","30.3661","","","","",""
