"Sgnyea","Ctnm_en","Ctnm_id","Cttyp_en","Prvcnm_id","Prvcnm_en.x","Gdpct01","Gdpct02","Gdpct03","Gdpct04","GDP_PerCapita","GDPYoY","GDP_PrimInd","GDP_SecInd","GDP_TerInd","Prvcnm_en.y","Pi0101","rel_cpi_2010","city_rgdp","city_rgdppc"
2000,"Chongqing",5e+05,"Municipality",5e+05,"Chongqing (city)",1822.06,15.4,42.5,42.1,6383,8.7,2804500,7746300,7669800,"Chongqing",96.7,81.7333165825653,2229.27451886697,7809.5448305368
2000,"Harbin(city)",230100,"City (Prefectural level)",230000,"Heilongjiang (province)",1002.7,17.6,35,47.4,10563,NA,1767000,3507000,4754000,"Heilongjiang",98.3,79.8241673810003,1256.13587074967,13232.8345494452
2000,"Qiqihaer(city)",230200,"City (Sub-provincial level)",230000,"Heilongjiang (province)",282.6,29,32.8,38.1,5076,NA,820000,928000,1078000,"Heilongjiang",98.3,79.8241673810003,354.02812114676,6358.97644352778
2000,"Jixi(city)",230300,"City (Sub-provincial level)",230000,"Heilongjiang (province)",124.4,27.3,41,31.8,6341,NA,339000,510000,395000,"Heilongjiang",98.3,79.8241673810003,155.842527497017,7943.70954066385
2000,"Hegang(city)",230400,"City (Sub-provincial level)",230000,"Heilongjiang (province)",63.3,27.6,38.5,33.9,5692,NA,175000,244000,214000,"Heilongjiang",98.3,79.8241673810003,79.2992925286266,7130.67256039404
2000,"Shuangyashan(city)",230500,"City (Sub-provincial level)",230000,"Heilongjiang (province)",84.1,29.4,38,32.6,5637,NA,247000,319000,274000,"Heilongjiang",98.3,79.8241673810003,105.356564007227,7061.77112138812
2000,"Daqing(city)",230600,"City (Sub-provincial level)",230000,"Heilongjiang (province)",1029.4,1.8,89.7,8.5,41479,NA,184000,9230000,879000,"Heilongjiang",98.3,79.8241673810003,1289.58438750345,51962.9597913887
2000,"Yichun(city)",230700,"City (Sub-provincial level)",230000,"Heilongjiang (province)",72.6,16.3,49.3,34.4,5505,NA,118000,358000,250000,"Heilongjiang",98.3,79.8241673810003,90.9498994878087,6896.40766777393
2000,"Kiamusze(city)",230800,"City (Sub-provincial level)",230000,"Heilongjiang (province)",146.4,29.8,27.1,43,6136,NA,437000,397000,630000,"Heilongjiang",98.3,79.8241673810003,183.403103099383,7686.89508618725
2000,"Qitaihe(city)",230900,"City (Sub-provincial level)",230000,"Heilongjiang (province)",56.2,12.4,48.6,38.9,6565,NA,70000,273000,219000,"Heilongjiang",98.3,79.8241673810003,70.4047431296812,8224.32631043339
2000,"Mudanjiang(city)",231000,"City (Sub-provincial level)",230000,"Heilongjiang (province)",207.7,14,42.8,43.2,7736,NA,291000,889000,897000,"Heilongjiang",98.3,79.8241673810003,260.196888755067,9691.30058454116
